ID,Title infront,Name,Surname,Title after,Password,Year of study,Degree
183226,Bc.,Alojz,Dvorsky,,preskEnB,2,ing
262550,Bc.,Eder,Abraham,,3JLgNRvt,2,ing
271805,,Daniel,Magula,,SExK0eOX,1,bc
435409,,Bruno,Babiak,,APJ8fA5l,3,bc
713319,,Demeter,Gombala,,1234567,1,bc
693601,,Dusan,Capla,,6g3SNZy8,3,bc
R14AJN, ,Dagmar,Olesak, ,QXbI5nUYS2,2,Bc.
895778,,Ernest,Babnic,,rAmNH9bN,1,bc
551652,Bc.,Dalibor,Babnic,,i0CUO5s6,3,ing
276651,,Dusan,Ruzicka,,oFUzQbRr,3,bc
983699,,Bohumil,Gocnik,,RykdljE2,3,bc
766692,Bc.,Anton,Baran,,vu2fV0O1,1,ing
935846,,Dezider,Fabian,,ZQ3RgKNH,1,bc
259754,,Ctibor,Gasparovic,,ORIonkvK,1,bc
307238,,Daniel,Martinec,,MsGl1Ntn,2,bc
583248,,Adrian,Refka,,ffJQRkAJ,2,bc
694185,,Dobroslav,Dolezal,,VAORe7QU,1,bc
660637,Bc.,Libor,Gavenda,,Rn0SRz7O,1,ing
782745,,Marek,Magula,,UjpgxcL4,1,bc
883068,,Bohumil,Bukovsky,,cW5uVW4c,2,bc
811752,Bc.,Bohumirr,Vanko,,vnuji8RG,1,ing
266324,,Eliska,Durovsky,,TtaKij0O,1,bc
852063,,Ctibor,Pribylina,,1CqEDyga,3,bc
T3XRNX, ,Michael,Holy, ,maJ451viCP,2,Bc.
489835,,Erik,Ciger,,bnKO7GUi,1,bc
590155,,Radoslav,Balog,,oVUTQbRr,3,bc
552383,,Branislav,Capla,,Oc4OOvzi,2,bc
723378,Bc.,Drahomir,Vrbovsky,,2kZqg6Ej,2,ing
508206,,Ervin,Capla,,JXh2uFMr,2,bc
DNY0NV, ,Marek,Matuska, ,0OGcBj94XE,1,Ing
119137,,Bonifac,Babiak,,NRQMJS8g,3,bc
429946,Bc.,Eduard,Holy,,x85DamnR,3,ing
P2Z42K, ,Milan,Straka, ,cBrgkkiDUI,2,Bc.
920801,,Dobroslav,Balog,,yvn6ujTg,1,bc
GYT2VR, ,Dominik,Dirbak, ,somturetak,2,Ing
E9CKTR, ,Matrej,Temniak, ,eifBLIpBzL,1,Ing
790127,,Radovan,Galik,,uctlFnL9,3,bc
