ID ucitela,ID predmetu
GMT2JB,3TFG78
 ,2AS871
 ,ASD584
 ,32S5LX
 ,8PDF72
 ,32F8GX
 ,22S8GX
 ,3VS8GX
 ,85AS20
 ,32S8G7
 ,3ISH58
 ,8A51X4
 ,32S4GX
A20FNQ,5CU351
 ,5BL214
 ,4BU271
 ,5CDF56
 ,5BUD51
 ,5BL114
 ,5JU679
 ,5WF684
 ,5XF078
 ,5XF678
 ,3FG782
 ,5SD256
CC2R34,087KU9
 ,KUF741
 ,5BFS41
 ,871SG1
 ,8BM42S
 ,4KFH78
 ,41FIP7
 ,5UI45S
 ,127HG7
 ,78SK78
 ,021SK3
 ,150SEP
L9UXND,720TY9
 ,9IG24D
 ,211KF8
 ,9SK47S
 ,FUK451
 ,7ST201
 ,0S1FG8
 ,8X6F8S
 ,KAF715
 ,74SI52
 ,4RT240
 ,87ASK4
N6YM29,2FS547
 ,5BL115
 ,5BI111
 ,2GH145
 ,2HYF78
 ,5BN110
 ,5BL119
 ,3SRT78
 ,2GH004
 ,5BA124
 ,7FGT95
 ,98SR56
