ID,Title infront,Name,Surname,Title after,Password,Year of study,Degree
183226,Bc.,Alojz Dvorsky,Dvorsky,,preskEnB,2,ing
262550,Bc.,Eder Abraham,Abraham,,3JLgNRvt,2,ing
271805,,Daniel Magula,Magula,,SExK0eOX,1,bc
435409,,Bruno Babiak,Babiak,,APJ8fA5l,3,bc
713319,,Demeter Gombala,Gombala,,eSyvuWUy,1,bc
693601,,Dusan Capla,Capla,,6g3SNZy8,3,bc
895778,,Ernest Babnic,Babnic,,rAmNH9bN,1,bc
551652,Bc.,Dalibor Babnic,Babnic,,i0CUO5s6,3,ing
276651,,Dusan Ruzicka,Ruzicka,,oFUzQbRr,3,bc
983699,,Bohumil Gocnik,Gocnik,,RykdljE2,3,bc
766692,Bc.,Anton Baran,Baran,,vu2fV0O1,1,ing
935846,,Dezider Fabian,Fabian,,ZQ3RgKNH,1,bc
259754,,Ctibor Gasparovic,Gasparovic,,ORIonkvK,1,bc
307238,,Daniel Martinec,Martinec,,MsGl1Ntn,2,bc
583248,,Adrian Refka,Refka,,ffJQRkAJ,2,bc
694185,,Dobroslav Dolezal,Dolezal,,VAORe7QU,1,bc
660637,Bc.,Libor Gavenda,Gavenda,,Rn0SRz7O,1,ing
782745,,Marek Magula,Magula,,UjpgxcL4,1,bc
883068,,Bohumil Bukovsky,Bukovsky,,cW5uVW4c,2,bc
811752,Bc.,Bohumirr Vanko,Vanko,,vnuji8RG,1,ing
266324,,Eliska Durovsky,Durovsky,,TtaKij0O,1,bc
852063,,Ctibor Pribylina,Pribylina,,1CqEDyga,3,bc
489835,,Erik Ciger,Ciger,,bnKO7GUi,1,bc
590155,,Radoslav Balog,Balog,,oVUTQbRr,3,bc
552383,,Branislav Capla,Capla,,Oc4OOvzi,2,bc
723378,Bc.,Drahomir Vrbovsky,Vrbovsky,,2kZqg6Ej,2,ing
508206,,Ervin Capla,Capla,,JXh2uFMr,2,bc
119137,,Bonifac Babiak,Babiak,,NRQMJS8g,3,bc
429946,Bc.,Eduard Holy,Holy,,x85DamnR,3,ing
920801,,Dobroslav Balog,Balog,,kuku,1,bc
790127,,Radovan Galik,Galik,,uctlFnL9,3,bc
